"gameID","home","away","OT","SO"
288,"Buffalo Sabres","Detroit Red Wings",1,1
289,"New Jersey Devils","Toronto Maple Leafs",1,1
290,"New York Rangers","Pittsburgh Penguins",0,0
291,"Washington Capitals","St. Louis Blues",0,0
292,"Columbus Blue Jackets","Calgary Flames",0,0
293,"Minnesota Wild","Winnipeg Jets",0,0
294,"Tampa Bay Lightning","Philadelphia Flyers",0,0
295,"Nashville Predators","Dallas Stars",0,0
296,"Colorado Avalanche","Edmonton Oilers",0,0
297,"Arizona Coyotes","Vancouver Canucks",0,0
298,"Los Angeles Kings","New York Islanders",0,0
299,"San Jose Sharks","Chicago Blackhawks",0,0
300,"Montréal Canadiens","Carolina Hurricanes",0,0
301,"Ottawa Senators","Boston Bruins",0,0
302,"Philadelphia Flyers","New York Rangers",0,0
303,"Minnesota Wild","Pittsburgh Penguins",0,0
304,"Anaheim Ducks","Chicago Blackhawks",0,0
305,"San Jose Sharks","New York Islanders",0,0
306,"Washington Capitals","Buffalo Sabres",0,0
307,"Nashville Predators","Winnipeg Jets",0,0
308,"Boston Bruins","Calgary Flames",0,0
309,"Tampa Bay Lightning","Columbus Blue Jackets",0,0
310,"New Jersey Devils","Detroit Red Wings",1,0
311,"Dallas Stars","Vancouver Canucks",0,0
312,"Arizona Coyotes","Edmonton Oilers",1,1
313,"Toronto Maple Leafs","Washington Capitals",0,0
314,"Ottawa Senators","Carolina Hurricanes",0,0
315,"Detroit Red Wings","Montréal Canadiens",1,0
316,"Florida Panthers","Columbus Blue Jackets",1,1
317,"Pittsburgh Penguins","New Jersey Devils",1,1
318,"St. Louis Blues","Minnesota Wild",1,1
319,"Colorado Avalanche","Vancouver Canucks",1,1
320,"Los Angeles Kings","Chicago Blackhawks",1,0
321,"San Jose Sharks","Anaheim Ducks",0,0
322,"Boston Bruins","Tampa Bay Lightning",0,0
323,"Edmonton Oilers","Arizona Coyotes",0,0
324,"Carolina Hurricanes","Florida Panthers",0,0
325,"Winnipeg Jets","Nashville Predators",0,0
326,"New York Rangers","Ottawa Senators",0,0
327,"Philadelphia Flyers","Calgary Flames",0,0
328,"New York Islanders","Calgary Flames",1,0
329,"St. Louis Blues","Dallas Stars",1,0
330,"New York Rangers","Carolina Hurricanes",0,0
331,"Philadelphia Flyers","Boston Bruins",1,1
332,"Columbus Blue Jackets","Tampa Bay Lightning",0,0
333,"Ottawa Senators","Buffalo Sabres",0,0
334,"Detroit Red Wings","Dallas Stars",0,0
335,"Winnipeg Jets","New Jersey Devils",0,0
